C	BODY_CONTENT
L	BODY_CONTENT
I	BODY_CONTENT
M	BODY_CONTENT
A	BODY_CONTENT
TE	BODY_CONTENT
C	BODY_CONTENT
H	BODY_CONTENT
A	BODY_CONTENT
N	BODY_CONTENT
GE	BODY_CONTENT
T	BODY_CONTENT
he	BODY_CONTENT
I	BODY_CONTENT
P	BODY_CONTENT
CC	BODY_CONTENT
R	BODY_CONTENT
e	BODY_CONTENT
s	BODY_CONTENT
p	BODY_CONTENT
o	BODY_CONTENT
n	BODY_CONTENT
se	BODY_CONTENT
S	BODY_CONTENT
t	BODY_CONTENT
r	BODY_CONTENT
a	BODY_CONTENT
t	BODY_CONTENT
e	BODY_CONTENT
g	BODY_CONTENT
i	BODY_CONTENT
es	BODY_CONTENT
World	BODY_CONTENT
Meteorological	BODY_CONTENT
Organization/United	BODY_CONTENT
Nations	BODY_CONTENT
Environment	BODY_CONTENT
Program	BODY_CONTENT
INTERGOVERNMENTAL	BODY_CONTENT
PANEL	BODY_CONTENT
ON	BODY_CONTENT
CLIMATE	BODY_CONTENT
CHANGE	BODY_CONTENT
Note	TYPE
to	TYPE
the	TYPE
Reader	TYPE
The	BODY_CONTENT
report	BODY_CONTENT
of	BODY_CONTENT
the	BODY_CONTENT
Response	BODY_CONTENT
Strategies	BODY_CONTENT
Working	BODY_CONTENT
Group	BODY_CONTENT
(RSWG)	BODY_CONTENT
was	BODY_CONTENT
compiled	BODY_CONTENT
through	BODY_CONTENT
an	BODY_CONTENT
unprecedented	BODY_CONTENT
international	BODY_CONTENT
cooperative	BODY_CONTENT
effort	BODY_CONTENT
to	BODY_CONTENT
deal	BODY_CONTENT
with	BODY_CONTENT
the	BODY_CONTENT
many	BODY_CONTENT
climate	BODY_CONTENT
change	BODY_CONTENT
response	BODY_CONTENT
strategies.	BODY_CONTENT
The	BODY_CONTENT
chairs	BODY_CONTENT
of	BODY_CONTENT
the	BODY_CONTENT
four	BODY_CONTENT
RSWG	BODY_CONTENT
subgroups	BODY_CONTENT
and	BODY_CONTENT
the	BODY_CONTENT
coordinators	BODY_CONTENT
of	BODY_CONTENT
the	BODY_CONTENT
five	BODY_CONTENT
RSWG	BODY_CONTENT
topic	BODY_CONTENT
areas	BODY_CONTENT
took	BODY_CONTENT
the	BODY_CONTENT
responsibility	BODY_CONTENT
for	BODY_CONTENT
completing	BODY_CONTENT
their	BODY_CONTENT
individual	BODY_CONTENT
reports.	BODY_CONTENT
Along	BODY_CONTENT
with	BODY_CONTENT
their	BODY_CONTENT
respective	BODY_CONTENT
governments,	BODY_CONTENT
they	BODY_CONTENT
contributed	BODY_CONTENT
generously	BODY_CONTENT
of	BODY_CONTENT
their	BODY_CONTENT
time	BODY_CONTENT
and	BODY_CONTENT
resources	BODY_CONTENT
to	BODY_CONTENT
that	BODY_CONTENT
end.	BODY_CONTENT
It	BODY_CONTENT
was	BODY_CONTENT
not	BODY_CONTENT
possible	BODY_CONTENT
or	BODY_CONTENT
intended	BODY_CONTENT
to	BODY_CONTENT
review	BODY_CONTENT
each	BODY_CONTENT
subgroup	BODY_CONTENT
report	BODY_CONTENT
and	BODY_CONTENT
topic	BODY_CONTENT
paper	BODY_CONTENT
in	BODY_CONTENT
plenary	BODY_CONTENT
session.	BODY_CONTENT
The	BODY_CONTENT
RSWG	BODY_CONTENT
report	BODY_CONTENT
thus	BODY_CONTENT
constitutes	BODY_CONTENT
a	BODY_CONTENT
series	BODY_CONTENT
of	BODY_CONTENT
independently	BODY_CONTENT
prepared	BODY_CONTENT
underlying	BODY_CONTENT
documents	BODY_CONTENT
which	BODY_CONTENT
attempt	BODY_CONTENT
to	BODY_CONTENT
analyze	BODY_CONTENT
as	BODY_CONTENT
thoroughly	BODY_CONTENT
as	BODY_CONTENT
possible	BODY_CONTENT
the	BODY_CONTENT
issues	BODY_CONTENT
addressed	BODY_CONTENT
in	BODY_CONTENT
each	BODY_CONTENT
subgroup	BODY_CONTENT
or	BODY_CONTENT
topic	BODY_CONTENT
area.	BODY_CONTENT
The	BODY_CONTENT
synthesis	BODY_CONTENT
of	BODY_CONTENT
the	BODY_CONTENT
concepts	BODY_CONTENT
from	BODY_CONTENT
these	BODY_CONTENT
underlying	BODY_CONTENT
reports	BODY_CONTENT
is	BODY_CONTENT
the	BODY_CONTENT
RSWG	BODY_CONTENT
Policymakers	BODY_CONTENT
Summary,	BODY_CONTENT
on	BODY_CONTENT
which	BODY_CONTENT
consensus	BODY_CONTENT
was	BODY_CONTENT
reached	BODY_CONTENT
at	BODY_CONTENT
the	BODY_CONTENT
RSWG's	BODY_CONTENT
Third	BODY_CONTENT
Plenary	BODY_CONTENT
Session	BODY_CONTENT
in	BODY_CONTENT
Geneva	BODY_CONTENT
on	BODY_CONTENT
June	BODY_CONTENT
9,	BODY_CONTENT
1990.	BODY_CONTENT
—F.	UNKNOWN
M.	UNKNOWN
B.	UNKNOWN
The	BODY_CONTENT
Intergovernmental	BODY_CONTENT
Panel	BODY_CONTENT
on	BODY_CONTENT
Climate	BODY_CONTENT
Change	BODY_CONTENT
(IPCC)	BODY_CONTENT
was	BODY_CONTENT
jointly	BODY_CONTENT
established	BODY_CONTENT
by	BODY_CONTENT
us	BIB_INFO
in	BODY_CONTENT
1988.	BODY_CONTENT
Prof.	BODY_CONTENT
B.	BODY_CONTENT
Bolin	BODY_CONTENT
is	BODY_CONTENT
the	BODY_CONTENT
Chairman	BODY_CONTENT
of	BODY_CONTENT
the	BODY_CONTENT
Panel.	BODY_CONTENT
The	BODY_CONTENT
Panel's	BODY_CONTENT
charge	BODY_CONTENT
was	BODY_CONTENT
to:	BODY_CONTENT
