This	BODY_CONTENT
is	BODY_CONTENT
the	BODY_CONTENT
final	BODY_CONTENT
Report	BODY_CONTENT
of	BODY_CONTENT
Working	BODY_CONTENT
Group	BODY_CONTENT
II	BODY_CONTENT
of	BODY_CONTENT
the	BODY_CONTENT
Intergovernmental	BODY_CONTENT
Panel	BODY_CONTENT
on	BODY_CONTENT
Climate	BODY_CONTENT
Change,	BODY_CONTENT
which	BODY_CONTENT
is	BODY_CONTENT
sponsored	BODY_CONTENT
jointly	BODY_CONTENT
by	BODY_CONTENT
the	BODY_CONTENT
World	BODY_CONTENT
Meteorological	BODY_CONTENT
Organization	BODY_CONTENT
and	BODY_CONTENT
the	BODY_CONTENT
United	BODY_CONTENT
Nations	BODY_CONTENT
Environment	BODY_CONTENT
Programme.	BODY_CONTENT
The	BODY_CONTENT
report	BODY_CONTENT
considers	BODY_CONTENT
the	BODY_CONTENT
potential	BODY_CONTENT
impacts	BODY_CONTENT
of	BODY_CONTENT
climate	BODY_CONTENT
change.	BODY_CONTENT
Several	BODY_CONTENT
hundred	BODY_CONTENT
working	BODY_CONTENT
scientists	BODY_CONTENT
from	BODY_CONTENT
many	BODY_CONTENT
countries	BODY_CONTENT
have	BODY_CONTENT
participated	BODY_CONTENT
in	BODY_CONTENT
the	BODY_CONTENT
preparation	BODY_CONTENT
and	BODY_CONTENT
review	BODY_CONTENT
of	BODY_CONTENT
the	BODY_CONTENT
scientific	BODY_CONTENT
data.	BODY_CONTENT
The	BODY_CONTENT
result	BODY_CONTENT
is	BODY_CONTENT
a	BODY_CONTENT
unique	BODY_CONTENT
statement	BODY_CONTENT
on	BODY_CONTENT
impacts	BODY_CONTENT
of	BODY_CONTENT
climate	BODY_CONTENT
change	BODY_CONTENT
with	BODY_CONTENT
a	BODY_CONTENT
breadth	BODY_CONTENT
not	BODY_CONTENT
previously	BODY_CONTENT
achieved	BODY_CONTENT
by	BODY_CONTENT
the	BODY_CONTENT
international	BODY_CONTENT
scientific	BODY_CONTENT
community.	BODY_CONTENT
The	BODY_CONTENT
impact	BODY_CONTENT
assessments	BODY_CONTENT
cover:	BODY_CONTENT
agriculture	BODY_CONTENT
and	BODY_CONTENT
forestry,	BODY_CONTENT
natural	BODY_CONTENT
terrestrial	BODY_CONTENT
ecosystems,	BODY_CONTENT
hydrology	BODY_CONTENT
and	BODY_CONTENT
water	BODY_CONTENT
resources,	BODY_CONTENT
human	BODY_CONTENT
settlement	BODY_CONTENT
and	BODY_CONTENT
socio	BODY_CONTENT
economic	BODY_CONTENT
activities,	BODY_CONTENT
oceans	BODY_CONTENT
and	BODY_CONTENT
coastal	BODY_CONTENT
zones	BODY_CONTENT
and	BODY_CONTENT
the	BODY_CONTENT
cryosphere.	BODY_CONTENT
The	BODY_CONTENT
information	BODY_CONTENT
presented	BODY_CONTENT
here	BODY_CONTENT
is	BODY_CONTENT
the	BODY_CONTENT
best	BODY_CONTENT
available	BODY_CONTENT
at	BODY_CONTENT
present.	BODY_CONTENT
It	BODY_CONTENT
will	BODY_CONTENT
inform	BODY_CONTENT
the	BODY_CONTENT
necessary	BODY_CONTENT
scientific,	BODY_CONTENT
political	BODY_CONTENT
and	BODY_CONTENT
economic	BODY_CONTENT
debates	BODY_CONTENT
and	BODY_CONTENT
negotiations	BODY_CONTENT
that	BODY_CONTENT
can	BODY_CONTENT
be	BODY_CONTENT
expected	BODY_CONTENT
in	BODY_CONTENT
the	BODY_CONTENT
immediate	BODY_CONTENT
future.	BODY_CONTENT
Appropriate	BODY_CONTENT
strategies	BODY_CONTENT
in	BODY_CONTENT
